,#EANF#,%,Cash / Call,Equity,Equity ,Qty,Qty ,Rating ,Sector,Unnamed: 0,Unnamed: 0.1,Unnamed: 4,Unnamed: 5,Value,"Value
 (Rs cr)",Value  (Rs cr),company_code,company_name
19,,1.13,,,CRISIL,,"14,716.00",,Miscellaneous,19,19,,,,2.86,,MBS839,newbirla-sl-mnc-fund-direct
20,,1.1,,,WABCO India,,"5,048.00",,Automotive,20,20,,,,2.78,,MBS839,newbirla-sl-mnc-fund-direct
21,,1.06,,,Colgate,,"24,158.00",,Consumer Non-durables,21,21,,,,2.68,,MBS839,newbirla-sl-mnc-fund-direct
22,,0.93,,,Quess Corp,,"25,383.00",,Engineering & Capital Goods,22,22,,,,2.35,,MBS839,newbirla-sl-mnc-fund-direct
23,,0.74,,,ACC,,"11,948.00",,Cement & Construction,23,23,,,,1.87,,MBS839,newbirla-sl-mnc-fund-direct
24,,0.67,,,Castrol,,"41,913.00",,Chemicals,24,24,,,,1.7,,MBS839,newbirla-sl-mnc-fund-direct
25,,0.56,,,SML Isuzu,,"11,734.00",,Automotive,25,25,,,,1.42,,MBS839,newbirla-sl-mnc-fund-direct
26,,0.52,,,Oracle Fin Serv,,"3,647.00",,Information Technology,26,26,,,,1.32,,MBS839,newbirla-sl-mnc-fund-direct
27,,0.41,,,Ambuja Cements,,"42,101.00",,Cement & Construction,27,27,,,,1.04,,MBS839,newbirla-sl-mnc-fund-direct
28,,0.4,,,ITD Cementation,,"59,657.00",,Cement & Construction,28,28,,,,1.01,,MBS839,newbirla-sl-mnc-fund-direct
29,,0.37,,,Nestle,,"1,390.00",,Food & Beverages,29,29,,,,0.94,,MBS839,newbirla-sl-mnc-fund-direct
30,,0.35,,,Federal-Mogul,,"16,241.00",,Automotive,30,30,,,,0.89,,MBS839,newbirla-sl-mnc-fund-direct
31,,0.28,,,Siemens,,"5,308.00",,Engineering & Capital Goods,31,31,,,,0.71,,MBS839,newbirla-sl-mnc-fund-direct
32,,0.27,,,Akzo Nobel,,"3,730.00",,Chemicals,32,32,,,,0.68,,MBS839,newbirla-sl-mnc-fund-direct
33,,0.23,,,Sanofi India,,"1,402.00",,Pharmaceuticals,33,33,,,,0.58,,MBS839,newbirla-sl-mnc-fund-direct
34,,0.22,,,GE Power India,,"8,979.00",,Engineering & Capital Goods,34,34,,,,0.56,,MBS839,newbirla-sl-mnc-fund-direct
35,,0.21,,,ABB India,,"3,665.00",,Engineering & Capital Goods,35,35,,,,0.53,,MBS839,newbirla-sl-mnc-fund-direct
36,,0.19,,,GE T&D India,,"14,024.00",,Engineering & Capital Goods,36,36,,,,0.48,,MBS839,newbirla-sl-mnc-fund-direct
37,,0.19,,,Blue Dart,,"1,021.00",,Services,37,37,,,,0.48,,MBS839,newbirla-sl-mnc-fund-direct
38,,0.12,,,Disa India,,610,,Engineering & Capital Goods,38,38,,,,0.3,,MBS839,newbirla-sl-mnc-fund-direct
39,,0.07,,,Schneider Infra,,"13,889.00",,Utilities,39,39,,,,0.18,,MBS839,newbirla-sl-mnc-fund-direct
0,,6.61,,,HPCL,,"523,691.00",,Oil & Gas,0,0,,,,17.79,,MBS831,newbirla-sl-pure-value-direct
1,,6.07,,,ICICI Bank,,"563,165.00",,Banking & Financial Services,1,1,,,,16.34,,MBS831,newbirla-sl-pure-value-direct
2,,5.32,,,UPL,,"170,381.00",,Chemicals,2,2,,,,14.32,,MBS831,newbirla-sl-pure-value-direct
3,,4.47,,,Chennai Petro,,"340,003.00",,Oil & Gas,3,3,,,,12.03,,MBS831,newbirla-sl-pure-value-direct
4,,4.24,,,L&T Finance,,"794,152.00",,Banking & Financial Services,4,4,,,,11.41,,MBS831,newbirla-sl-pure-value-direct
5,,3.99,,,India Cements,,"544,164.00",,Cement & Construction,5,5,,,,10.74,,MBS831,newbirla-sl-pure-value-direct
6,,3.45,,,Edelweiss,,"485,652.00",,Banking & Financial Services,6,6,,,,9.29,,MBS831,newbirla-sl-pure-value-direct
7,,3.19,,,KPR Mill,,"104,693.00",,Manufacturing,7,7,,,,8.59,,MBS831,newbirla-sl-pure-value-direct
8,,3.14,,,DLF,,"443,173.00",,Retail & Real Estate,8,8,,,,8.45,,MBS831,newbirla-sl-pure-value-direct
9,,3.13,,,SpiceJet,,"637,487.00",,Services,9,9,,,,8.42,,MBS831,newbirla-sl-pure-value-direct
10,,2.87,,,GNFC,,"287,641.00",,Chemicals,10,10,,,,7.72,,MBS831,newbirla-sl-pure-value-direct
11,,2.79,,,Rel Capital,,"116,740.00",,Banking & Financial Services,11,11,,,,7.51,,MBS831,newbirla-sl-pure-value-direct
12,,2.68,,,IGL,,"68,043.00",,Oil & Gas,12,12,,,,7.21,,MBS831,newbirla-sl-pure-value-direct
13,,2.66,,,Blue Star,,"119,204.00",,Consumer Durables,13,13,,,,7.16,,MBS831,newbirla-sl-pure-value-direct
14,,2.6,,,IDFC,,"1,265,443.00",,Banking & Financial Services,14,14,,,,7,,MBS831,newbirla-sl-pure-value-direct
15,,2.45,,,Atul,,"27,190.00",,Chemicals,15,15,,,,6.59,,MBS831,newbirla-sl-pure-value-direct
16,,2.25,,,VIP Industries,,"331,556.00",,Manufacturing,16,16,,,,6.06,,MBS831,newbirla-sl-pure-value-direct
17,,2.19,,,Grasim,,"47,510.00",,Conglomerates,17,17,,,,5.89,,MBS831,newbirla-sl-pure-value-direct
18,,2.15,,,Gulf Oil Lubric,,"71,406.00",,Chemicals,18,18,,,,5.79,,MBS831,newbirla-sl-pure-value-direct
19,,1.91,,,Fortis Health,,"317,135.00",,Services,19,19,,,,5.14,,MBS831,newbirla-sl-pure-value-direct
20,,1.88,,,Steel Str Wheel,,"57,704.00",,Automotive,20,20,,,,5.06,,MBS831,newbirla-sl-pure-value-direct
21,,1.68,,,Arvind,,"125,568.00",,Manufacturing,21,21,,,,4.52,,MBS831,newbirla-sl-pure-value-direct
22,,1.67,,,GAIL,,"124,510.00",,Oil & Gas,22,22,,,,4.49,,MBS831,newbirla-sl-pure-value-direct
23,,1.64,,,Deepak Nitrite,,"274,080.00",,Chemicals,23,23,,,,4.41,,MBS831,newbirla-sl-pure-value-direct
24,,1.56,,,CenturyPlyboard,,"142,669.00",,Miscellaneous,24,24,,,,4.2,,MBS831,newbirla-sl-pure-value-direct
25,,1.35,,,Indian Terrain,,"183,095.00",,Manufacturing,25,25,,,,3.63,,MBS831,newbirla-sl-pure-value-direct
26,,1.32,,,NCC,,"406,032.00",,Cement & Construction,26,26,,,,3.55,,MBS831,newbirla-sl-pure-value-direct
27,,1.21,,,Monte Carlo,,"60,568.00",,Manufacturing,27,27,,,,3.26,,MBS831,newbirla-sl-pure-value-direct
28,,1.13,,,Sintex Ind,,"1,261,990.00",,Conglomerates,28,28,,,,3.04,,MBS831,newbirla-sl-pure-value-direct
29,,1.12,,,Sterlite Techno,,"205,977.00",,Telecommunication,29,29,,,,3.01,,MBS831,newbirla-sl-pure-value-direct
30,,1.08,,,BEML,,"18,944.00",,Engineering & Capital Goods,30,30,,,,2.91,,MBS831,newbirla-sl-pure-value-direct
31,,1,,,Bank of Baroda,,"167,070.00",,Banking & Financial Services,31,31,,,,2.69,,MBS831,newbirla-sl-pure-value-direct
32,,0.99,,,PNB,,"194,283.00",,Banking & Financial Services,32,32,,,,2.66,,MBS831,newbirla-sl-pure-value-direct
33,,0.86,,,Guj Flourochem,,"31,330.00",,Chemicals,33,33,,,,2.31,,MBS831,newbirla-sl-pure-value-direct
34,,0.85,,,Canara Bank,,"69,537.00",,Banking & Financial Services,34,34,,,,2.29,,MBS831,newbirla-sl-pure-value-direct
35,,0.76,,,Castrol,,"50,645.00",,Chemicals,35,35,,,,2.05,,MBS831,newbirla-sl-pure-value-direct
36,,0.56,,,Muthoot Finance,,"33,152.00",,Banking & Financial Services,36,36,,,,1.51,,MBS831,newbirla-sl-pure-value-direct
37,,0.46,,,Sonata,,"80,974.00",,Information Technology,37,37,,,,1.24,,MBS831,newbirla-sl-pure-value-direct
38,,0.45,,,HPL Electric & ,,"94,365.00",,Engineering & Capital Goods,38,38,,,,1.21,,MBS831,newbirla-sl-pure-value-direct
39,,0.32,,,Firstsource Sol,,"252,575.00",,Information Technology,39,39,,,,0.86,,MBS831,newbirla-sl-pure-value-direct
0,,6.61,,,HPCL,,"1,890,578.00",,Oil & Gas,0,0,,,,64.23,,MBS267,newbirla-sl-pure-value-fund
1,,6.07,,,ICICI Bank,,"2,033,084.00",,Banking & Financial Services,1,1,,,,58.98,,MBS267,newbirla-sl-pure-value-fund
2,,5.32,,,UPL,,"615,092.00",,Chemicals,2,2,,,,51.69,,MBS267,newbirla-sl-pure-value-fund
3,,4.47,,,Chennai Petro,,"1,227,447.00",,Oil & Gas,3,3,,,,43.43,,MBS267,newbirla-sl-pure-value-fund
4,,4.24,,,L&T Finance,,"2,866,972.00",,Banking & Financial Services,4,4,,,,41.2,,MBS267,newbirla-sl-pure-value-fund
5,,3.99,,,India Cements,,"1,964,491.00",,Cement & Construction,5,5,,,,38.77,,MBS267,newbirla-sl-pure-value-fund
6,,3.45,,,Edelweiss,,"1,753,257.00",,Banking & Financial Services,6,6,,,,33.52,,MBS267,newbirla-sl-pure-value-fund
7,,3.19,,,KPR Mill,,"377,953.00",,Manufacturing,7,7,,,,31,,MBS267,newbirla-sl-pure-value-fund
8,,3.14,,,DLF,,"1,599,902.00",,Retail & Real Estate,8,8,,,,30.51,,MBS267,newbirla-sl-pure-value-fund
9,,3.13,,,SpiceJet,,"2,301,397.00",,Services,9,9,,,,30.41,,MBS267,newbirla-sl-pure-value-fund
10,,2.87,,,GNFC,,"1,038,415.00",,Chemicals,10,10,,,,27.89,,MBS267,newbirla-sl-pure-value-fund
11,,2.79,,,Rel Capital,,"421,443.00",,Banking & Financial Services,11,11,,,,27.11,,MBS267,newbirla-sl-pure-value-fund
12,,2.68,,,IGL,,"245,642.00",,Oil & Gas,12,12,,,,26.04,,MBS267,newbirla-sl-pure-value-fund
13,,2.66,,,Blue Star,,"430,339.00",,Consumer Durables,13,13,,,,25.85,,MBS267,newbirla-sl-pure-value-fund
14,,2.6,,,IDFC,,"4,568,383.00",,Banking & Financial Services,14,14,,,,25.26,,MBS267,newbirla-sl-pure-value-fund
15,,2.45,,,Atul,,"98,158.00",,Chemicals,15,15,,,,23.81,,MBS267,newbirla-sl-pure-value-fund
16,,2.25,,,VIP Industries,,"1,196,953.00",,Manufacturing,16,16,,,,21.86,,MBS267,newbirla-sl-pure-value-fund
17,,2.19,,,Grasim,,"171,518.00",,Conglomerates,17,17,,,,21.28,,MBS267,newbirla-sl-pure-value-fund
18,,2.15,,,Gulf Oil Lubric,,"257,782.00",,Chemicals,18,18,,,,20.89,,MBS267,newbirla-sl-pure-value-fund
19,,1.91,,,Fortis Health,,"1,144,892.00",,Services,19,19,,,,18.56,,MBS267,newbirla-sl-pure-value-fund
20,,1.88,,,Steel Str Wheel,,"208,316.00",,Automotive,20,20,,,,18.27,,MBS267,newbirla-sl-pure-value-fund
21,,1.68,,,Arvind,,"453,315.00",,Manufacturing,21,21,,,,16.32,,MBS267,newbirla-sl-pure-value-fund
22,,1.67,,,GAIL,,"449,494.00",,Oil & Gas,22,22,,,,16.23,,MBS267,newbirla-sl-pure-value-fund
23,,1.64,,,Deepak Nitrite,,"989,458.00",,Chemicals,23,23,,,,15.94,,MBS267,newbirla-sl-pure-value-fund
24,,1.56,,,CenturyPlyboard,,"515,049.00",,Miscellaneous,24,24,,,,15.16,,MBS267,newbirla-sl-pure-value-fund
25,,1.35,,,Indian Terrain,,"660,993.00",,Manufacturing,25,25,,,,13.12,,MBS267,newbirla-sl-pure-value-fund
26,,1.32,,,NCC,,"1,465,819.00",,Cement & Construction,26,26,,,,12.83,,MBS267,newbirla-sl-pure-value-fund
27,,1.21,,,Monte Carlo,,"218,655.00",,Manufacturing,27,27,,,,11.76,,MBS267,newbirla-sl-pure-value-fund
28,,1.13,,,Sintex Ind,,"4,555,916.00",,Conglomerates,28,28,,,,10.98,,MBS267,newbirla-sl-pure-value-fund
29,,1.12,,,Sterlite Techno,,"743,600.00",,Telecommunication,29,29,,,,10.88,,MBS267,newbirla-sl-pure-value-fund
30,,1.08,,,BEML,,"68,391.00",,Engineering & Capital Goods,30,30,,,,10.49,,MBS267,newbirla-sl-pure-value-fund
31,,1,,,Bank of Baroda,,"603,141.00",,Banking & Financial Services,31,31,,,,9.72,,MBS267,newbirla-sl-pure-value-fund
32,,0.99,,,PNB,,"701,381.00",,Banking & Financial Services,32,32,,,,9.62,,MBS267,newbirla-sl-pure-value-fund
33,,0.86,,,Guj Flourochem,,"113,106.00",,Chemicals,33,33,,,,8.36,,MBS267,newbirla-sl-pure-value-fund
34,,0.85,,,Canara Bank,,"251,037.00",,Banking & Financial Services,34,34,,,,8.26,,MBS267,newbirla-sl-pure-value-fund
35,,0.76,,,Castrol,,"182,833.00",,Chemicals,35,35,,,,7.38,,MBS267,newbirla-sl-pure-value-fund
36,,0.56,,,Muthoot Finance,,"119,681.00",,Banking & Financial Services,36,36,,,,5.44,,MBS267,newbirla-sl-pure-value-fund
37,,0.46,,,Sonata,,"292,324.00",,Information Technology,37,37,,,,4.47,,MBS267,newbirla-sl-pure-value-fund
38,,0.45,,,HPL Electric & ,,"340,668.00",,Engineering & Capital Goods,38,38,,,,4.37,,MBS267,newbirla-sl-pure-value-fund
39,,0.32,,,Firstsource Sol,,"911,822.00",,Information Technology,39,39,,,,3.11,,MBS267,newbirla-sl-pure-value-fund
0,,2.79,,,Solar Ind,,"222,733.00",,Chemicals,0,0,,,,18.37,,MBS104,newbirla-sl-small-and-midcap-fund
1,,2.53,,,KEC Intl,,"646,208.00",,Engineering & Capital Goods,1,1,,,,16.66,,MBS104,newbirla-sl-small-and-midcap-fund
2,,2.46,,,Federal Bank,,"1,435,105.00",,Banking & Financial Services,2,2,,,,16.2,,MBS104,newbirla-sl-small-and-midcap-fund
3,,2.44,,,J Kumar Infra,,"539,134.00",,Cement & Construction,3,3,,,,16.06,,MBS104,newbirla-sl-small-and-midcap-fund
4,,2.43,,,Mahindra CIE,,"656,180.00",,Manufacturing,4,4,,,,16,,MBS104,newbirla-sl-small-and-midcap-fund
5,,2.36,,,Firstsource Sol,,"4,556,253.00",,Information Technology,5,5,,,,15.54,,MBS104,newbirla-sl-small-and-midcap-fund
6,,2.34,,,PNC Infratech,,"1,075,779.00",,Retail & Real Estate,6,6,,,,15.41,,MBS104,newbirla-sl-small-and-midcap-fund
7,,2.31,,,Guj State Petro,,"861,379.00",,Oil & Gas,7,7,,,,15.21,,MBS104,newbirla-sl-small-and-midcap-fund
8,,2.31,,,Tata Metaliks,,"215,360.00",,Metals & Mining,8,8,,,,15.21,,MBS104,newbirla-sl-small-and-midcap-fund
9,,2.3,,,Sanghi Ind,,"1,794,055.00",,Cement & Construction,9,9,,,,15.14,,MBS104,newbirla-sl-small-and-midcap-fund
10,,2.29,,,Equitas Holding,,"1,005,066.00",,Banking & Financial Services,10,10,,,,15.08,,MBS104,newbirla-sl-small-and-midcap-fund
11,,2.22,,,Cyient,,"287,870.00",,Information Technology,11,11,,,,14.62,,MBS104,newbirla-sl-small-and-midcap-fund
12,,2.18,,,Capital First,,"215,153.00",,Banking & Financial Services,12,12,,,,14.35,,MBS104,newbirla-sl-small-and-midcap-fund
13,,2.17,,,DCB Bank,,"719,334.00",,Banking & Financial Services,13,13,,,,14.29,,MBS104,newbirla-sl-small-and-midcap-fund
14,,2.12,,,Chennai Petro,,"394,316.00",,Oil & Gas,14,14,,,,13.96,,MBS104,newbirla-sl-small-and-midcap-fund
15,,2.03,,,Deepak Nitrite,,"828,024.00",,Chemicals,15,15,,,,13.36,,MBS104,newbirla-sl-small-and-midcap-fund
16,,1.94,,,IRB Infra,,"610,798.00",,Engineering & Capital Goods,16,16,,,,12.77,,MBS104,newbirla-sl-small-and-midcap-fund
17,,1.94,,,Jyothy Labs,,"358,859.00",,Consumer Non-durables,17,17,,,,12.77,,MBS104,newbirla-sl-small-and-midcap-fund
18,,1.92,,,Sterlite Techno,,"861,925.00",,Telecommunication,18,18,,,,12.64,,MBS104,newbirla-sl-small-and-midcap-fund
19,,1.91,,,Dewan Housing,,"287,610.00",,Banking & Financial Services,19,19,,,,12.57,,MBS104,newbirla-sl-small-and-midcap-fund
20,,1.87,,,Allcargo,,"717,004.00",,Services,20,20,,,,12.31,,MBS104,newbirla-sl-small-and-midcap-fund
21,,1.8,,,Repco Home,,"143,647.00",,Banking & Financial Services,21,21,,,,11.85,,MBS104,newbirla-sl-small-and-midcap-fund
22,,1.78,,,Akzo Nobel,,"63,941.00",,Chemicals,22,22,,,,11.72,,MBS104,newbirla-sl-small-and-midcap-fund
23,,1.77,,,Monte Carlo,,"215,689.00",,Manufacturing,23,23,,,,11.65,,MBS104,newbirla-sl-small-and-midcap-fund
24,,1.75,,,Minda Corp,,"1,054,549.00",,Automotive,24,24,,,,11.52,,MBS104,newbirla-sl-small-and-midcap-fund
25,,1.74,,,VIP Industries,,"629,056.00",,Manufacturing,25,25,,,,11.46,,MBS104,newbirla-sl-small-and-midcap-fund
26,,1.65,,,INOX Leisure,,"396,012.00",,Media & Entertainment,26,26,,,,10.86,,MBS104,newbirla-sl-small-and-midcap-fund
27,,1.62,,,Mahanagar Gas,,"107,881.00",,Oil & Gas,27,27,,,,10.67,,MBS104,newbirla-sl-small-and-midcap-fund
28,,1.58,,,V-Guard Ind,,"602,827.00",,Miscellaneous,28,28,,,,10.4,,MBS104,newbirla-sl-small-and-midcap-fund
29,,1.57,,,CG Power ,,"1,258,945.00",,Engineering & Capital Goods,29,29,,,,10.34,,MBS104,newbirla-sl-small-and-midcap-fund
30,,1.54,,,Indian Bank,,"358,883.00",,Banking & Financial Services,30,30,,,,10.14,,MBS104,newbirla-sl-small-and-midcap-fund
31,,1.53,,,Endurance Techn,,"115,056.00",,Automotive,31,31,,,,10.07,,MBS104,newbirla-sl-small-and-midcap-fund
32,,1.51,,,India Cements,,"503,211.00",,Cement & Construction,32,32,,,,9.94,,MBS104,newbirla-sl-small-and-midcap-fund
33,,1.49,,,Natco Pharma,,"97,926.00",,Pharmaceuticals,33,33,,,,9.81,,MBS104,newbirla-sl-small-and-midcap-fund
34,,1.46,,,Sanofi India,,"23,145.00",,Pharmaceuticals,34,34,,,,9.61,,MBS104,newbirla-sl-small-and-midcap-fund
35,,1.44,,,Pennar Eng,,"740,633.00",,Miscellaneous,35,35,,,,9.48,,MBS104,newbirla-sl-small-and-midcap-fund
36,,1.42,,,Carborundum,,"287,423.00",,Engineering & Capital Goods,36,36,,,,9.35,,MBS104,newbirla-sl-small-and-midcap-fund
37,,1.39,,,Laurus Labs,,"148,759.00",,Pharmaceuticals,37,37,,,,9.15,,MBS104,newbirla-sl-small-and-midcap-fund
38,,1.36,,,IDFC,,"1,620,529.00",,Banking & Financial Services,38,38,,,,8.95,,MBS104,newbirla-sl-small-and-midcap-fund
39,,1.32,,,Rallis India,,"358,059.00",,Chemicals,39,39,,,,8.69,,MBS104,newbirla-sl-small-and-midcap-fund
40,,1.23,,,KPR Mill,,"100,710.00",,Manufacturing,40,40,,,,8.1,,MBS104,newbirla-sl-small-and-midcap-fund
41,,1.22,,,HPL Electric & ,,"623,825.00",,Engineering & Capital Goods,41,41,,,,8.03,,MBS104,newbirla-sl-small-and-midcap-fund
42,,1.11,,,Apar Ind,,"97,610.00",,Miscellaneous,42,42,,,,7.31,,MBS104,newbirla-sl-small-and-midcap-fund
43,,1.01,,,EngineersInd,,"432,611.00",,Engineering & Capital Goods,43,43,,,,6.65,,MBS104,newbirla-sl-small-and-midcap-fund
44,,1,,,Suven Life Sci,,"383,313.00",,Pharmaceuticals,44,44,,,,6.58,,MBS104,newbirla-sl-small-and-midcap-fund
0,,2.79,,,Solar Ind,,"39,861.00",,Chemicals,0,0,,,,3.29,,MBS833,newbirla-sl-small-midcap-direct
1,,2.53,,,KEC Intl,,"115,649.00",,Engineering & Capital Goods,1,1,,,,2.98,,MBS833,newbirla-sl-small-midcap-direct
2,,2.46,,,Federal Bank,,"256,834.00",,Banking & Financial Services,2,2,,,,2.9,,MBS833,newbirla-sl-small-midcap-direct
3,,2.44,,,J Kumar Infra,,"96,486.00",,Cement & Construction,3,3,,,,2.87,,MBS833,newbirla-sl-small-midcap-direct
4,,2.43,,,Mahindra CIE,,"117,433.00",,Manufacturing,4,4,,,,2.86,,MBS833,newbirla-sl-small-midcap-direct
5,,2.36,,,Firstsource Sol,,"815,411.00",,Information Technology,5,5,,,,2.78,,MBS833,newbirla-sl-small-midcap-direct
6,,2.34,,,PNC Infratech,,"192,527.00",,Retail & Real Estate,6,6,,,,2.76,,MBS833,newbirla-sl-small-midcap-direct
7,,2.31,,,Guj State Petro,,"154,157.00",,Oil & Gas,7,7,,,,2.72,,MBS833,newbirla-sl-small-midcap-direct
8,,2.31,,,Tata Metaliks,,"38,542.00",,Metals & Mining,8,8,,,,2.72,,MBS833,newbirla-sl-small-midcap-direct
9,,2.3,,,Sanghi Ind,,"321,073.00",,Cement & Construction,9,9,,,,2.71,,MBS833,newbirla-sl-small-midcap-direct
10,,2.29,,,Equitas Holding,,"179,872.00",,Banking & Financial Services,10,10,,,,2.7,,MBS833,newbirla-sl-small-midcap-direct
11,,2.22,,,Cyient,,"51,519.00",,Information Technology,11,11,,,,2.62,,MBS833,newbirla-sl-small-midcap-direct
12,,2.18,,,Capital First,,"38,505.00",,Banking & Financial Services,12,12,,,,2.57,,MBS833,newbirla-sl-small-midcap-direct
13,,2.17,,,DCB Bank,,"128,736.00",,Banking & Financial Services,13,13,,,,2.56,,MBS833,newbirla-sl-small-midcap-direct
14,,2.12,,,Chennai Petro,,"70,569.00",,Oil & Gas,14,14,,,,2.5,,MBS833,newbirla-sl-small-midcap-direct
15,,2.03,,,Deepak Nitrite,,"148,187.00",,Chemicals,15,15,,,,2.39,,MBS833,newbirla-sl-small-midcap-direct
16,,1.94,,,IRB Infra,,"109,312.00",,Engineering & Capital Goods,16,16,,,,2.29,,MBS833,newbirla-sl-small-midcap-direct
17,,1.94,,,Jyothy Labs,,"64,223.00",,Consumer Non-durables,17,17,,,,2.29,,MBS833,newbirla-sl-small-midcap-direct
18,,1.92,,,Sterlite Techno,,"154,255.00",,Telecommunication,18,18,,,,2.26,,MBS833,newbirla-sl-small-midcap-direct
19,,1.91,,,Dewan Housing,,"51,472.00",,Banking & Financial Services,19,19,,,,2.25,,MBS833,newbirla-sl-small-midcap-direct
20,,1.87,,,Allcargo,,"128,319.00",,Services,20,20,,,,2.2,,MBS833,newbirla-sl-small-midcap-direct
21,,1.8,,,Repco Home,,"25,708.00",,Banking & Financial Services,21,21,,,,2.12,,MBS833,newbirla-sl-small-midcap-direct
22,,1.78,,,Akzo Nobel,,"11,443.00",,Chemicals,22,22,,,,2.1,,MBS833,newbirla-sl-small-midcap-direct
23,,1.77,,,Monte Carlo,,"38,601.00",,Manufacturing,23,23,,,,2.09,,MBS833,newbirla-sl-small-midcap-direct
24,,1.75,,,Minda Corp,,"188,728.00",,Automotive,24,24,,,,2.06,,MBS833,newbirla-sl-small-midcap-direct
25,,1.74,,,VIP Industries,,"112,579.00",,Manufacturing,25,25,,,,2.05,,MBS833,newbirla-sl-small-midcap-direct
26,,1.65,,,INOX Leisure,,"70,872.00",,Media & Entertainment,26,26,,,,1.94,,MBS833,newbirla-sl-small-midcap-direct
27,,1.62,,,Mahanagar Gas,,"19,307.00",,Oil & Gas,27,27,,,,1.91,,MBS833,newbirla-sl-small-midcap-direct
28,,1.58,,,V-Guard Ind,,"107,885.00",,Miscellaneous,28,28,,,,1.86,,MBS833,newbirla-sl-small-midcap-direct
29,,1.57,,,CG Power ,,"225,307.00",,Engineering & Capital Goods,29,29,,,,1.85,,MBS833,newbirla-sl-small-midcap-direct
30,,1.54,,,Indian Bank,,"64,228.00",,Banking & Financial Services,30,30,,,,1.81,,MBS833,newbirla-sl-small-midcap-direct
31,,1.53,,,Endurance Techn,,"20,591.00",,Automotive,31,31,,,,1.8,,MBS833,newbirla-sl-small-midcap-direct
32,,1.51,,,India Cements,,"90,057.00",,Cement & Construction,32,32,,,,1.78,,MBS833,newbirla-sl-small-midcap-direct
33,,1.49,,,Natco Pharma,,"17,525.00",,Pharmaceuticals,33,33,,,,1.76,,MBS833,newbirla-sl-small-midcap-direct
34,,1.46,,,Sanofi India,,"4,142.00",,Pharmaceuticals,34,34,,,,1.72,,MBS833,newbirla-sl-small-midcap-direct
35,,1.44,,,Pennar Eng,,"132,548.00",,Miscellaneous,35,35,,,,1.7,,MBS833,newbirla-sl-small-midcap-direct
36,,1.42,,,Carborundum,,"51,439.00",,Engineering & Capital Goods,36,36,,,,1.67,,MBS833,newbirla-sl-small-midcap-direct
37,,1.39,,,Laurus Labs,,"26,623.00",,Pharmaceuticals,37,37,,,,1.64,,MBS833,newbirla-sl-small-midcap-direct
38,,1.36,,,IDFC,,"290,018.00",,Banking & Financial Services,38,38,,,,1.6,,MBS833,newbirla-sl-small-midcap-direct
39,,1.32,,,Rallis India,,"64,080.00",,Chemicals,39,39,,,,1.56,,MBS833,newbirla-sl-small-midcap-direct
40,,1.23,,,KPR Mill,,"18,024.00",,Manufacturing,40,40,,,,1.45,,MBS833,newbirla-sl-small-midcap-direct
41,,1.22,,,HPL Electric & ,,"111,643.00",,Engineering & Capital Goods,41,41,,,,1.44,,MBS833,newbirla-sl-small-midcap-direct
42,,1.11,,,Apar Ind,,"17,469.00",,Miscellaneous,42,42,,,,1.31,,MBS833,newbirla-sl-small-midcap-direct
43,,1.01,,,EngineersInd,,"77,422.00",,Engineering & Capital Goods,43,43,,,,1.19,,MBS833,newbirla-sl-small-midcap-direct
44,,1,,,Suven Life Sci,,"68,600.00",,Pharmaceuticals,44,44,,,,1.18,,MBS833,newbirla-sl-small-midcap-direct
0,,3.03,,,KEC Intl,,"2,398,925.00",,Engineering & Capital Goods,0,0,,,,61.83,,MBS027,newbirla-sun-life-midcap-fund
1,,2.78,,,Tube Investment,,"849,897.00",,Miscellaneous,1,1,,,,56.73,,MBS027,newbirla-sun-life-midcap-fund
2,,2.78,,,Johnson Control,,"283,292.00",,Consumer Durables,2,2,,,,56.73,,MBS027,newbirla-sun-life-midcap-fund
3,,2.7,,,Federal Bank,,"4,882,418.00",,Banking & Financial Services,3,3,,,,55.1,,MBS027,newbirla-sun-life-midcap-fund
4,,2.45,,,Mahindra CIE,,"2,050,714.00",,Manufacturing,4,4,,,,50,,MBS027,newbirla-sun-life-midcap-fund
5,,2.33,,,Guj State Petro,,"2,693,153.00",,Oil & Gas,5,5,,,,47.55,,MBS027,newbirla-sun-life-midcap-fund
6,,2.29,,,MRF,,"6,839.00",,Automotive,6,6,,,,46.73,,MBS027,newbirla-sun-life-midcap-fund
7,,2.12,,,PNB Housing Fin,,"271,032.00",,Banking & Financial Services,7,7,,,,43.26,,MBS027,newbirla-sun-life-midcap-fund
8,,2.06,,,PNC Infratech,,"2,935,601.00",,Retail & Real Estate,8,8,,,,42.04,,MBS027,newbirla-sun-life-midcap-fund
9,,1.99,,,TeamLease Ser.,,"302,187.00",,Miscellaneous,9,9,,,,40.61,,MBS027,newbirla-sun-life-midcap-fund
10,,1.99,,,Hindalco,,"2,126,700.00",,Metals & Mining,10,10,,,,40.61,,MBS027,newbirla-sun-life-midcap-fund
11,,1.95,,,CG Consumer,,"1,757,256.00",,Manufacturing,11,11,,,,39.79,,MBS027,newbirla-sun-life-midcap-fund
12,,1.94,,,RBL Bank,,"779,695.00",,Banking & Financial Services,12,12,,,,39.59,,MBS027,newbirla-sun-life-midcap-fund
