fundname,code,link,Do_Not_Use,fund_category
"ICICI Pru Value Fund - Sr 18 - RP (G)",MPI3410,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-18-regular-plan/MPI3410,,"Multi Cap Fund"
"ICICI Pru Value Fund - Sr 19 - DP (D)",MPI3451,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-19-direct-plan/MPI3451,,"Value Fund"
"ICICI Pru Value Fund - Sr 19 - DP (G)",MPI3452,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-19-direct-plan/MPI3452,,"Value Fund"
"ICICI Pru Value Fund - Sr 19 - RP (D)",MPI3453,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-19-regular-plan/MPI3453,,"Value Fund"
"ICICI Pru Value Fund - Sr 19 - RP (G)",MPI3454,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-19-regular-plan/MPI3454,,"Value Fund"
"ICICI Pru Value Fund - Sr 2-DP (D)",MPI1705,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-2-direct-plan/MPI1705,,"Value Fund"
"ICICI Pru Value Fund - Sr 2-RP (D)",MPI1704,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-2-regular-plan/MPI1704,,"Value Fund"
"ICICI Pru Value Fund - Sr 20 - DP (D)",MPI3455,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-20-direct-plan/MPI3455,,"Value Fund"
"ICICI Pru Value Fund - Sr 20 - DP (G)",MPI3456,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-20-direct-plan/MPI3456,,"Value Fund"
"ICICI Pru Value Fund - Sr 20 - RP (D)",MPI3457,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-20-regular-plan/MPI3457,,"Value Fund"
"ICICI Pru Value Fund - Sr 20 - RP (G)",MPI3458,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-20-regular-plan/MPI3458,,"Value Fund"
"ICICI Pru Value Fund - Sr 3-DP (D)",MPI1875,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-3-direct-plan/MPI1875,,"Value Fund"
"ICICI Pru Value Fund - Sr 3-RP (D)",MPI1874,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-3-regular-plan/MPI1874,,"Value Fund"
"ICICI Pru Value Fund - Sr 4-DP (D)",MPI2015,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-4-direct-plan/MPI2015,,"Value Fund"
"ICICI Pru Value Fund - Sr 4-DP (G)",MPI2069,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-4-direct-plan/MPI2069,,"Value Fund"
"ICICI Pru Value Fund - Sr 4-RP (D)",MPI2014,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-4-regular-plan/MPI2014,,"Value Fund"
"ICICI Pru Value Fund - Sr 4-RP (G)",MPI2068,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-4-regular-plan/MPI2068,,"Value Fund"
"ICICI Pru Value Fund - Sr 5-DP (D)",MPI2205,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-5-direct-plan/MPI2205,,"Value Fund"
"ICICI Pru Value Fund - Sr 5-DP (G)",MPI2204,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-5-direct-plan/MPI2204,,"Value Fund"
"ICICI Pru Value Fund - Sr 5-RP (D)",MPI2203,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-5-regular-plan/MPI2203,,"Value Fund"
"ICICI Pru Value Fund - Sr 5-RP (G)",MPI2202,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-5-regular-plan/MPI2202,,"Value Fund"
"ICICI Pru Value Fund - Sr 6-DP (D)",MPI2567,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-6-direct-plan/MPI2567,,"Value Fund"
"ICICI Pru Value Fund - Sr 6-RP (D)",MPI2565,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-6-regular-plan/MPI2565,,"Value Fund"
"ICICI Pru Value Fund - Sr 7-DP (D)",MPI2627,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-7-direct-plan/MPI2627,,"Value Fund"
"ICICI Pru Value Fund - Sr 7-RP (D)",MPI2626,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-7-regular-plan/MPI2626,,"Value Fund"
"ICICI Pru Value Fund - Sr 8-DP (D)",MPI2691,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-8-direct-plan/MPI2691,,"Value Fund"
"ICICI Pru Value Fund - Sr 8-DP (D)",MPI2693,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-8-direct-plan/MPI2693,,"Multi Cap Fund"
"ICICI Pru Value Fund - Sr 8-RP (D)",MPI2690,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-8-regular-plan/MPI2690,,"Value Fund"
"ICICI Pru Value Fund - Sr 8-RP (D)",MPI2692,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-8-regular-plan/MPI2692,,"Multi Cap Fund"
"ICICI Pru Value Fund - Sr 9-DP (D)",MPI3152,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-9-direct-plan/MPI3152,,"Value Fund"
"ICICI Pru Value Fund - Sr 9-DP (G)",MPI3153,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-9-direct-plan/MPI3153,,"Value Fund"
"ICICI Pru Value Fund - Sr 9-RP (D)",MPI3154,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-9-regular-plan/MPI3154,,"Value Fund"
"ICICI Pru Value Fund - Sr 9-RP (G)",MPI3143,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-9-regular-plan/MPI3143,,"Multi Cap Fund"
"ICICI Pru Value Fund - Sr 9-RP (G)",MPI3155,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-value-fund-series-9-regular-plan/MPI3155,,"Value Fund"
"ICICI Pru. Bharat 22 ETF",MPI3418,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-bharat-22-fof/MPI3418,,"Index Funds/ETFs"
"ICICI Pru. Bharat 22 FOF",MPI3748,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-bharat-22-fof/MPI3748,,"Index Funds/ETFs"
"ICICI Pru. Bharat 22 FOF",MPI3793,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-bharat-22-fof-direct/MPI3793,,"Index Funds/ETFs"
"ICICI Pru. IOF - DP (D)",MPI4084,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-india-opportunities-fund-direct-plan/MPI4084,,Sectoral/Thematic
"ICICI Pru. IOF - DP (G)",MPI4085,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-india-opportunities-fund-direct-plan/MPI4085,,Sectoral/Thematic
"ICICI Pru. IOF - RP (D)",MPI4086,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-india-opportunities-fund-regular-plan/MPI4086,,Sectoral/Thematic
"ICICI Pru. IOF - RP (G)",MPI4087,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-india-opportunities-fund-regular-plan/MPI4087,,Sectoral/Thematic
"ICICI Pru. Retirement - HAP - DP (D)",MPI4168,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-hybrid-aggressive-plan-direct-plan/MPI4168,,"Aggressive Hybrid Fund"
"ICICI Pru. Retirement - HCP - DP (D)",MPI4172,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-hybrid-conservative-plan-direct-plan/MPI4172,,"Conservative Hybrid Fund"
"ICICI Pru. Retirement - HCP - DP (G)",MPI4169,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-hybrid-conservative-plan-direct-plan/MPI4169,,"Conservative Hybrid Fund"
"ICICI Pru. Retirement - HCP - RP (D)",MPI4170,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-hybrid-conservative-plan-regular-plan/MPI4170,,"Conservative Hybrid Fund"
"ICICI Pru. Retirement - HCP - RP (G)",MPI4171,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-hybrid-conservative-plan-regular-plan/MPI4171,,"Conservative Hybrid Fund"
"ICICI Pru. Retirement - PEP - DP (D)",MPI4164,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-pure-equity-plan-direct-plan/MPI4164,,"Multi Cap Fund"
"ICICI Pru. Retirement - PEP - DP (G)",MPI4165,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-pure-equity-plan-direct-plan/MPI4165,,"Multi Cap Fund"
"ICICI Pru. Retirement - PEP - RP (D)",MPI4166,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-pure-equity-plan-regular-plan/MPI4166,,"Multi Cap Fund"
"ICICI Pru. Retirement - PEP - RP (G)",MPI4167,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-retirement-fund-pure-equity-plan-regular-plan/MPI4167,,"Multi Cap Fund"
"ICICI Prudemtial Equity & Debt - D (MD)",MPI1137,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-equity-debt-fund-direct-plan-md-/MPI1137,,"Aggressive Hybrid Fund"
